After 1 global rounds, Test acc1: 37.39, Test acc5: 87.24
After 2 global rounds, Test acc1: 32.879999999999995, Test acc5: 83.72
After 3 global rounds, Test acc1: 31.15, Test acc5: 82.6
After 4 global rounds, Test acc1: 32.84, Test acc5: 83.97
After 5 global rounds, Test acc1: 35.199999999999996, Test acc5: 86.32
After 6 global rounds, Test acc1: 36.86, Test acc5: 87.16000000000001
After 7 global rounds, Test acc1: 37.05, Test acc5: 88.06
After 8 global rounds, Test acc1: 38.379999999999995, Test acc5: 88.94999999999999
After 9 global rounds, Test acc1: 39.160000000000004, Test acc5: 89.51
After 10 global rounds, Test acc1: 39.589999999999996, Test acc5: 90.4
After 11 global rounds, Test acc1: 40.43, Test acc5: 90.32
After 12 global rounds, Test acc1: 40.35, Test acc5: 90.42
After 13 global rounds, Test acc1: 41.33, Test acc5: 91.09
After 14 global rounds, Test acc1: 41.43, Test acc5: 90.86999999999999
After 15 global rounds, Test acc1: 42.42, Test acc5: 91.36999999999999
After 16 global rounds, Test acc1: 43.059999999999995, Test acc5: 91.43
After 17 global rounds, Test acc1: 43.9, Test acc5: 91.74
After 18 global rounds, Test acc1: 44.03, Test acc5: 91.85
After 19 global rounds, Test acc1: 46.1, Test acc5: 92.39
After 20 global rounds, Test acc1: 46.58, Test acc5: 92.58999999999999
After 21 global rounds, Test acc1: 46.56, Test acc5: 92.81
After 22 global rounds, Test acc1: 48.26, Test acc5: 93.01
After 23 global rounds, Test acc1: 47.99, Test acc5: 93.05
After 24 global rounds, Test acc1: 48.4, Test acc5: 93.31
After 25 global rounds, Test acc1: 49.34, Test acc5: 93.62
After 26 global rounds, Test acc1: 49.94, Test acc5: 93.74
After 27 global rounds, Test acc1: 50.57000000000001, Test acc5: 94.02000000000001
After 28 global rounds, Test acc1: 51.18000000000001, Test acc5: 94.01
After 29 global rounds, Test acc1: 51.449999999999996, Test acc5: 94.35
After 30 global rounds, Test acc1: 52.38, Test acc5: 94.66
After 31 global rounds, Test acc1: 52.49, Test acc5: 94.77
After 32 global rounds, Test acc1: 53.43, Test acc5: 94.91000000000001
After 33 global rounds, Test acc1: 53.779999999999994, Test acc5: 94.97
